service_id,exception_type,date
10,1,20240502
10,1,20240509
10,2,20240417
100,2,20240426
100,2,20240428
100,2,20240505
103,1,20240414
103,1,20240415
103,1,20240416
103,1,20240417
103,1,20240418
103,1,20240503
104,1,20240502
105,2,20240508
106,2,20240506
106,2,20240507
106,2,20240508
106,2,20240509
107,1,20240414
107,1,20240415
107,1,20240416
107,1,20240417
107,1,20240503
107,1,20240504
108,1,20240508
109,1,20240427
11,1,20240508
110,1,20240427
110,1,20240509
110,1,20240513
111,1,20240424
112,1,20240421
112,1,20240505
112,2,20240427
112,2,20240503
112,2,20240506
113,1,20240417
113,1,20240424
113,2,20240509
115,2,20240503
115,2,20240504
115,2,20240505
115,2,20240506
115,2,20240507
115,2,20240508
115,2,20240509
117,2,20240420
117,2,20240421
119,2,20240503
119,2,20240504
119,2,20240505
12,1,20240424
12,2,20240503
12,2,20240506
12,2,20240507
12,2,20240509
120,2,20240508
121,2,20240426
121,2,20240502
121,2,20240507
123,2,20240422
123,2,20240423
123,2,20240424
123,2,20240425
123,2,20240426
124,2,20240501
124,2,20240504
124,2,20240509
125,1,20240503
125,2,20240513
128,1,20240501
128,1,20240509
129,1,20240509
130,1,20240426
130,1,20240508
131,1,20240415
132,1,20240414
132,1,20240510
132,1,20240511
133,1,20240420
133,1,20240510
133,1,20240511
133,1,20240512
133,1,20240513
133,1,20240514
134,2,20240430
134,2,20240501
134,2,20240502
134,2,20240503
134,2,20240504
136,1,20240502
136,1,20240508
136,2,20240513
137,2,20240505
138,1,20240426
138,1,20240428
138,2,20240509
139,1,20240424
14,1,20240424
141,2,20240427
147,2,20240510
149,1,20240427
149,1,20240509
150,2,20240430
150,2,20240508
151,1,20240509
153,1,20240418
153,1,20240425
153,2,20240429
153,2,20240430
153,2,20240501
153,2,20240503
154,1,20240502
154,2,20240510
155,1,20240511
155,1,20240514
157,1,20240502
157,1,20240503
157,2,20240513
158,1,20240508
159,1,20240501
159,1,20240509
16,2,20240420
16,2,20240421
16,2,20240505
16,2,20240508
161,2,20240421
162,1,20240511
162,1,20240512
162,1,20240513
162,1,20240514
163,2,20240428
164,1,20240501
164,2,20240504
164,2,20240505
166,2,20240501
166,2,20240509
168,1,20240514
168,2,20240501
169,2,20240420
169,2,20240501
170,1,20240420
170,1,20240427
170,1,20240428
170,1,20240430
170,1,20240501
170,1,20240502
170,1,20240503
170,1,20240504
173,1,20240421
173,1,20240510
173,1,20240511
173,1,20240512
175,1,20240418
175,1,20240419
175,1,20240429
175,1,20240430
175,1,20240501
175,1,20240505
176,2,20240504
176,2,20240505
177,1,20240510
178,2,20240427
178,2,20240428
179,1,20240501
18,2,20240428
181,2,20240427
183,1,20240501
184,1,20240421
184,1,20240512
184,1,20240514
184,2,20240425
184,2,20240429
185,1,20240512
186,2,20240427
186,2,20240428
188,1,20240505
189,1,20240428
189,1,20240505
189,2,20240511
19,1,20240418
19,1,20240502
19,2,20240422
19,2,20240423
19,2,20240424
19,2,20240426
193,1,20240425
195,1,20240420
195,1,20240421
195,1,20240511
195,1,20240512
195,2,20240429
195,2,20240430
195,2,20240501
195,2,20240502
195,2,20240506
196,2,20240427
198,2,20240420
2,1,20240427
2,1,20240428
2,1,20240511
2,1,20240512
2,2,20240503
2,2,20240506
200,2,20240509
202,1,20240420
202,1,20240511
202,2,20240502
202,2,20240503
202,2,20240505
202,2,20240506
202,2,20240507
202,2,20240508
204,2,20240509
204,2,20240510
204,2,20240511
204,2,20240512
204,2,20240513
208,1,20240509
21,1,20240414
21,1,20240428
210,1,20240425
210,1,20240502
210,2,20240510
211,1,20240510
211,1,20240511
211,1,20240513
211,1,20240514
213,1,20240418
213,1,20240419
213,1,20240429
213,1,20240430
213,1,20240501
215,1,20240509
216,2,20240501
216,2,20240509
216,2,20240510
216,2,20240511
216,2,20240512
217,2,20240427
217,2,20240428
218,1,20240510
218,1,20240511
218,1,20240514
218,2,20240501
22,1,20240427
22,1,20240428
22,2,20240501
22,2,20240509
22,2,20240510
221,1,20240510
221,1,20240512
222,1,20240420
222,1,20240511
222,1,20240512
223,2,20240511
224,1,20240421
225,2,20240504
225,2,20240505
226,1,20240502
226,2,20240426
226,2,20240430
226,2,20240501
226,2,20240506
227,2,20240426
230,2,20240429
230,2,20240501
231,1,20240420
231,1,20240427
231,2,20240505
231,2,20240510
231,2,20240512
232,2,20240504
233,1,20240424
233,1,20240502
234,2,20240511
236,1,20240509
238,2,20240427
238,2,20240428
238,2,20240501
238,2,20240509
24,1,20240514
24,2,20240501
24,2,20240509
241,2,20240421
242,2,20240501
242,2,20240505
242,2,20240509
243,1,20240501
244,2,20240429
247,1,20240429
247,1,20240503
247,1,20240510
247,1,20240513
247,1,20240514
248,1,20240514
248,2,20240501
249,1,20240501
250,2,20240421
252,1,20240512
252,1,20240513
252,1,20240514
252,2,20240417
252,2,20240422
258,1,20240509
259,1,20240502
26,2,20240509
