stop_name,parent_station,stop_id,stop_lat,stop_lon,location_type
's-Hertogenbosch,,567337,51.69054,5.293723,1
's-Hertogenbosch,567337,298979,51.69054,5.293723,
Aachen Hbf,105438,628900,50.76794,6.090865,
Aachen Süd(Gr),,65955,50.731915,6.04541,1
Aachen Süd(Gr),65955,69850,50.731915,6.04541,
"Aachen, Hbf,Aachen",,105438,50.767723,6.092051,1
Aalen Hauptbahnhof,,476485,48.841602,10.096031,1
Aalen Hbf,476485,157247,48.84168,10.09613,
Altena (Westfalen),,60627,51.301826,7.668091,1
Altena(Westf),60627,401907,51.301956,7.668576,
Altena(Westf),60627,604601,51.302013,7.668693,
Altenbeken,,533245,51.766094,8.943016,1
Altenbeken,533245,432415,51.766296,8.94298,
Amersfoort Centraal,,484981,52.153465,5.373909,1
Amersfoort Centraal,484981,296409,52.153465,5.373909,
Amsterdam Centraal,,35301,52.37919,4.899431,1
Amsterdam Centraal,35301,167221,52.37919,4.899431,
Amstetten NÖ,,102181,48.121605,14.878112,1
Amstetten NÖ,102181,239018,48.121605,14.878112,
Andernach,170214,120050,50.434544,7.404839,
Andernach Bahnhof,,170214,50.434544,7.40484,1
Angermünde,624041,394374,53.015793,13.995908,
Angermünde,624041,640460,53.01574,13.995672,
"Angermünde, Bahnhof",,624041,53.015823,13.995871,1
Anklam,145571,129146,53.85625,13.701518,
Anklam,145571,58915,53.8563,13.701554,
Anklam Bahnhof,,145571,53.855984,13.701563,1
Ansbach,,460151,49.29803,10.578246,1
Ansbach,460151,486596,49.29803,10.578239,
Apeldoorn,,628325,52.20943,5.968491,1
Apeldoorn,628325,176599,52.20943,5.968491,
Arnhem Centraal,,81918,51.98478,5.901003,1
Arnhem Centraal,81918,629320,51.98478,5.901003,
Aschaffenburg Hbf,,493026,49.980556,9.1437,1
Aschaffenburg Hbf,493026,539211,49.980556,9.143697,
Attnang-Puchheim,,629579,48.012802,13.720719,1
Attnang-Puchheim,629579,60829,48.012802,13.720719,
Augsburg Hbf,,433198,48.36544,10.885569,1
Augsburg Hbf,433198,379830,48.36544,10.88557,
Augustfehn,,351898,53.220894,7.759622,1
Augustfehn,351898,155134,53.220943,7.759614,
Augustfehn,351898,382356,53.220844,7.75963,
Bad Bentheim,332274,462393,52.30978,7.157785,
Bad Bentheim,332274,462941,52.309853,7.157776,
Bad Bentheim Bahnhof,,332274,52.30953,7.158737,1
Bad Bentheim(Gr),,182926,52.3091,7.04016,1
Bad Bentheim(Gr),182926,359865,52.3091,7.04016,
Bad Endorf,,331648,47.905067,12.301556,1
Bad Endorf,331648,112158,47.905067,12.301558,
Bad Gastein,,245464,47.111774,13.131945,1
Bad Gastein,245464,6825,47.111774,13.131945,
Bad Hersfeld,,196172,50.869633,9.716182,1
Bad Hersfeld,196172,295835,50.869633,9.716182,
Bad Hofgastein,,102270,47.195713,13.100939,1
Bad Hofgastein,102270,27179,47.195713,13.100939,
Bad Kleinen,172934,280384,53.766975,11.466925,
Bad Kleinen,172934,335924,53.766945,11.466213,
Bad Kleinen,172934,613326,53.766644,11.466456,
Bad Kleinen Bhf,,172934,53.76746,11.466429,1
Bad Nauheim,398533,466917,50.367695,8.749241,
Bad Nauheim Bahnhof,,398533,50.367798,8.748327,1
Bad Oeynhausen,187368,243988,52.205257,8.795962,
Bad Oeynhausen,187368,507339,52.205322,8.795944,
"Bad Oeynhausen, Bf/ZOB",,187368,52.205353,8.79916,1
Bad Schandau,556298,452474,50.91929,14.137538,
Bad Schandau,556298,466690,50.91921,14.137704,
Bad Schandau,556298,505070,50.919315,14.137713,
Bad Schandau Nationalparkbahnhof,,556298,50.91927,14.138099,1
Bad Zwischenahn,,514704,53.182568,8.002996,1
Bad Zwischenahn,514704,242104,53.182713,8.002593,
Baden-Baden,,105176,48.7902,8.191036,1
Baden-Baden,105176,159944,48.79032,8.190731,
Baden-Baden,105176,508926,48.790478,8.190417,
"Bahnhof, Engen",448495,587169,47.85621,8.772516,
Bamberg,,620609,49.90076,10.899484,1
Bamberg,620609,492551,49.90076,10.899489,
Basel Bad Bf,,573190,47.567287,7.607805,1
Basel Bad Bf,573190,30923,47.567287,7.607805,
Basel SBB,,187935,47.547405,7.589551,1
Basel SBB,187935,308302,47.547405,7.589551,
Bensheim,74284,13753,49.681423,8.616721,
Bensheim,74284,492390,49.68174,8.616901,
"Bensheim, Bahnhof",,74284,49.681805,8.616955,1
Bergen Bahnhof,,516954,54.420822,13.418737,1
Bergen auf Rügen,516954,226286,54.420414,13.417534,
Bergen auf Rügen,516954,479420,54.4205,13.417821,
Bergen auf Rügen,516954,570499,54.42034,13.417668,
Berlin Gesundbrunnen,314320,163797,52.548485,13.390691,
Berlin Gesundbrunnen,314320,202495,52.548386,13.390704,
