date,service_id,exception_type
20240417,2024-04-17,1
20240418,2024-04-18,1
20240419,2024-04-19,1
20240420,2024-04-20,1
20240421,2024-04-21,1
20240422,2024-04-22,1
20240423,2024-04-23,1
20240424,2024-04-24,1
20240425,2024-04-25,1
20240426,2024-04-26,1
20240427,2024-04-27,1
20240428,2024-04-28,1
20240429,2024-04-29,1
20240430,2024-04-30,1
20240501,2024-05-01,1
20240502,2024-05-02,1
20240503,2024-05-03,1
20240504,2024-05-04,1
20240505,2024-05-05,1
20240506,2024-05-06,1
20240507,2024-05-07,1
20240508,2024-05-08,1
20240509,2024-05-09,1
20240510,2024-05-10,1
20240511,2024-05-11,1
20240512,2024-05-12,1
20240513,2024-05-13,1
20240514,2024-05-14,1
20240515,2024-05-15,1
20240516,2024-05-16,1
20240517,2024-05-17,1
20240518,2024-05-18,1
