from_stop_id,to_stop_id,from_trip_id,to_trip_id,transfer_type
65300,65300,2024-04-17_13104-5_0,2024-04-17_13104-5_1,1
65300,65300,2024-04-17_13106-7_0,2024-04-17_13106-7_1,1
49205,49205,2024-04-17_31104-5_0,2024-04-17_31104-5_1,1
49205,49205,2024-04-17_31106-7_0,2024-04-17_31106-7_1,1
65300,65300,2024-04-18_13104-5_0,2024-04-18_13104-5_1,1
65300,65300,2024-04-18_13106-7_0,2024-04-18_13106-7_1,1
49205,49205,2024-04-18_31104-5_0,2024-04-18_31104-5_1,1
49205,49205,2024-04-18_31106-7_0,2024-04-18_31106-7_1,1
65300,65300,2024-04-19_13104-5_0,2024-04-19_13104-5_1,1
65300,65300,2024-04-19_13106-7_0,2024-04-19_13106-7_1,1
49205,49205,2024-04-19_31104-5_0,2024-04-19_31104-5_1,1
49205,49205,2024-04-19_31106-7_0,2024-04-19_31106-7_1,1
65300,65300,2024-04-20_13104-5_0,2024-04-20_13104-5_1,1
65300,65300,2024-04-20_13106-7_0,2024-04-20_13106-7_1,1
49205,49205,2024-04-20_31104-5_0,2024-04-20_31104-5_1,1
49205,49205,2024-04-20_31106-7_0,2024-04-20_31106-7_1,1
65300,65300,2024-04-21_13104-5_0,2024-04-21_13104-5_1,1
65300,65300,2024-04-21_13106-7_0,2024-04-21_13106-7_1,1
55665,55665,2024-04-21_16170-1_0,2024-04-21_16170-1_1,1
49205,49205,2024-04-21_31104-5_0,2024-04-21_31104-5_1,1
49205,49205,2024-04-21_31106-7_0,2024-04-21_31106-7_1,1
65300,65300,2024-04-22_13104-5_0,2024-04-22_13104-5_1,1
65300,65300,2024-04-22_13106-7_0,2024-04-22_13106-7_1,1
55665,55665,2024-04-22_16100-1_0,2024-04-22_16100-1_1,1
55665,55665,2024-04-22_16170-1_0,2024-04-22_16170-1_1,1
49205,49205,2024-04-22_31104-5_0,2024-04-22_31104-5_1,1
49205,49205,2024-04-22_31106-7_0,2024-04-22_31106-7_1,1
55665,55665,2024-04-22_36102-3_0,2024-04-22_36102-3_1,1
55665,55665,2024-04-22_36106-7_0,2024-04-22_36106-7_1,1
55665,55665,2024-04-22_5600-1_0,2024-04-22_5600-1_1,1
55665,55665,2024-04-22_60105_0,2024-04-22_60105_1,1
65300,65300,2024-04-23_13104-5_0,2024-04-23_13104-5_1,1
65300,65300,2024-04-23_13106-7_0,2024-04-23_13106-7_1,1
55665,55665,2024-04-23_16100-1_0,2024-04-23_16100-1_1,1
55665,55665,2024-04-23_16170-1_0,2024-04-23_16170-1_1,1
49205,49205,2024-04-23_31104-5_0,2024-04-23_31104-5_1,1
49205,49205,2024-04-23_31106-7_0,2024-04-23_31106-7_1,1
55665,55665,2024-04-23_36102-3_0,2024-04-23_36102-3_1,1
55665,55665,2024-04-23_36106-7_0,2024-04-23_36106-7_1,1
55665,55665,2024-04-23_5600-1_0,2024-04-23_5600-1_1,1
55665,55665,2024-04-23_60105_0,2024-04-23_60105_1,1
65300,65300,2024-04-24_13104-5_0,2024-04-24_13104-5_1,1
65300,65300,2024-04-24_13106-7_0,2024-04-24_13106-7_1,1
55665,55665,2024-04-24_16100-1_0,2024-04-24_16100-1_1,1
55665,55665,2024-04-24_16170-1_0,2024-04-24_16170-1_1,1
49205,49205,2024-04-24_31104-5_0,2024-04-24_31104-5_1,1
49205,49205,2024-04-24_31106-7_0,2024-04-24_31106-7_1,1
55665,55665,2024-04-24_36102-3_0,2024-04-24_36102-3_1,1
55665,55665,2024-04-24_36106-7_0,2024-04-24_36106-7_1,1
55665,55665,2024-04-24_5600-1_0,2024-04-24_5600-1_1,1
55665,55665,2024-04-24_60105_0,2024-04-24_60105_1,1
65300,65300,2024-04-25_13104-5_0,2024-04-25_13104-5_1,1
65300,65300,2024-04-25_13106-7_0,2024-04-25_13106-7_1,1
55665,55665,2024-04-25_16100-1_0,2024-04-25_16100-1_1,1
55665,55665,2024-04-25_16170-1_0,2024-04-25_16170-1_1,1
49205,49205,2024-04-25_31104-5_0,2024-04-25_31104-5_1,1
49205,49205,2024-04-25_31106-7_0,2024-04-25_31106-7_1,1
