route_id,service_id,trip_id,trip_headsign,trip_short_name
IC,2024-04-17,2024-04-17_1001-0,Białystok,1000 Narew
IC,2024-04-17,2024-04-17_1002-3,Białystok,1002 Zamenhof
IC,2024-04-17,2024-04-17_10100-1,Białystok,10100 Żubr
IC,2024-04-17,2024-04-17_10110-1,Warszawa Zachodnia,10110 Żubr
IC,2024-04-17,2024-04-17_1100-1,Łódź Fabryczna,1100 Narew
IC,2024-04-17,2024-04-17_1104-5,Łódź Fabryczna,1104 Skaryna
IC,2024-04-17,2024-04-17_11100-1,Terespol,11100 Podlasie
IC,2024-04-17,2024-04-17_11102-3,Terespol,11102 Mickiewicz
IC,2024-04-17,2024-04-17_11104-5,Terespol,11104 Starzyński
IC,2024-04-17,2024-04-17_11106-7,Terespol,11106 Niemcewicz
IC,2024-04-17,2024-04-17_11110-1,Warszawa Wschodnia,11110 Podlasie
IC,2024-04-17,2024-04-17_11112-3,Warszawa Wschodnia,11112 Mickiewicz
IC,2024-04-17,2024-04-17_11114-5,Warszawa Wschodnia,11114 Starzyński
IC,2024-04-17,2024-04-17_11116-7,Warszawa Wschodnia,11116 Niemcewicz
IC,2024-04-17,2024-04-17_1115-4,Terespol,1114 Skaryna
IC,2024-04-17,2024-04-17_1201-0,Lublin Główny,1200 Czartoryski
TLK,2024-04-17,2024-04-17_12010-1,Jagodin,12010 Kyiv-Express
IC,2024-04-17,2024-04-17_12100-1,Chełm,12100 Chełmianin
IC,2024-04-17,2024-04-17_12102-3,Lublin Główny,12102 Bystrzyca
IC,2024-04-17,2024-04-17_12104-5,Lublin Główny,12104 Czechowicz
IC,2024-04-17,2024-04-17_12106-7,Lublin Główny,12106 Inka
IC,2024-04-17,2024-04-17_1220-1,Kielce Główne,1220 Nida
IC,2024-04-17,2024-04-17_13000-1,Kraków Główny,143 Hańcza
EIP,2024-04-17,2024-04-17_1302-3,Kraków Główny,1302
EIP,2024-04-17,2024-04-17_1304-5,Kraków Główny,1304
EIP,2024-04-17,2024-04-17_1306-7,Kraków Główny,1306
EIP,2024-04-17,2024-04-17_1310-1,Kraków Główny,1310
IC,2024-04-17,2024-04-17_13100-1,Przemyśl Główny,13100 Malinowski
IC,2024-04-17,2024-04-17_13102-3,Kraków Główny,13102 Marszałek Piłsudski
IC,2024-04-17,2024-04-17_13104-5_0,Przemyśl Główny,13104 Witos
IC,2024-04-17,2024-04-17_13104-5_1,Przemyśl Główny,13104 Witos
IC,2024-04-17,2024-04-17_13106-7_0,Przemyśl Główny,13106 San
IC,2024-04-17,2024-04-17_13106-7_1,Przemyśl Główny,13106 San
IC,2024-04-17,2024-04-17_13109-8,Kraków Główny,13108 Reymont
EIP,2024-04-17,2024-04-17_1312-3,Kraków Główny,1312
IC,2024-04-17,2024-04-17_1320-1,Zakopane,1320 Karłowicz
IC,2024-04-17,2024-04-17_1322-3,Kraków Główny,1322 Kinga
EIC,2024-04-17,2024-04-17_1350-1,Zakopane,1350 Tatry
EIP,2024-04-17,2024-04-17_1400-1,Bielsko-Biała Główna,1400
IC,2024-04-17,2024-04-17_14000-1,Bohumin,116 Silesia
IC,2024-04-17,2024-04-17_14002-3,Bohumin,105 Polonia
IC,2024-04-17,2024-04-17_14004-5,Bohumin,131 Batory
IC,2024-04-17,2024-04-17_14006-7,Bohumin,112 Silesia
IC,2024-04-17,2024-04-17_14008-9,Bohumin Vrbice,110 Silesia
IC,2024-04-17,2024-04-17_14010-1,Petrovice U Karvine,407 Chopin
EIC,2024-04-17,2024-04-17_1410-1,Bielsko-Biała Główna,1410 Ondraszek
IC,2024-04-17,2024-04-17_1420-1,Bielsko-Biała Główna,1420 Daszyński
IC,2024-04-17,2024-04-17_1422-3,Bielsko-Biała Główna,1422 Pilecki
IC,2024-04-17,2024-04-17_1424-5,Katowice,1424 Chemik
EIP,2024-04-17,2024-04-17_1500-1,Gdynia Główna,1500
EIP,2024-04-17,2024-04-17_1502-3,Gdynia Główna,1502
IC,2024-04-17,2024-04-17_1510-1,Gdynia Główna,1510 Słowiniec
TLK,2024-04-17,2024-04-17_15102-3,Gdynia Główna,15102 Biebrza
IC,2024-04-17,2024-04-17_1512-3,Gdynia Główna,1512 Wybrzeże
IC,2024-04-17,2024-04-17_1520-1,Olsztyn Główny,1520 Warmia
IC,2024-04-17,2024-04-17_1523-2,Olsztyn Główny,1522 Mazury
IC,2024-04-17,2024-04-17_1524-5,Bydgoszcz Główna,1524 Kopernik
IC,2024-04-17,2024-04-17_1527,Bydgoszcz Główna,1526 Moniuszko
IC,2024-04-17,2024-04-17_1531-0,Bydgoszcz Główna,1530 Brda
IC,2024-04-17,2024-04-17_1533-2,Gdynia Główna,1532 Kociewie
EIC,2024-04-17,2024-04-17_1600-1,Wrocław Główny,1600 Panorama
EIP,2024-04-17,2024-04-17_1602-3,Jelenia Góra,1602
TLK,2024-04-17,2024-04-17_16100-1,Jelenia Góra,16100 Orzeszkowa
IC,2024-04-17,2024-04-17_16102-3,Wrocław Główny,16102 Konopnicka
