trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
1021189,07:26:00,07:26:00,584178,0,Hamburg Hbf,,
1021189,07:52:00,07:54:00,511512,1,Hamburg Hbf,,
1021189,08:36:00,08:39:00,352463,2,Hamburg Hbf,,
1021189,09:15:00,09:18:00,16897,3,Hamburg Hbf,,
1021189,09:59:00,09:59:00,3919,4,Hamburg Hbf,,
107878,18:59:00,18:59:00,3919,0,København H,,
107878,19:40:00,19:42:00,16897,1,København H,,
107878,20:20:00,20:23:00,352463,2,København H,,
107878,21:02:00,21:04:00,511512,3,København H,,
107878,21:34:00,21:34:00,584178,4,København H,,
1164268,10:59:00,10:59:00,3919,0,København H,,
1164268,11:40:00,11:42:00,16897,1,København H,,
1164268,12:20:00,12:23:00,352463,2,København H,,
1164268,13:02:00,13:04:00,511512,3,København H,,
1164268,13:34:00,13:34:00,584178,4,København H,,
1178597,16:59:00,16:59:00,3919,0,København H,,
1178597,17:40:00,17:42:00,16897,1,København H,,
1178597,18:20:00,18:23:00,352463,2,København H,,
1178597,19:02:00,19:04:00,511512,3,København H,,
1178597,19:34:00,19:34:00,584178,4,København H,,
1185238,18:59:00,18:59:00,3919,0,København H,,
1185238,19:40:00,19:42:00,16897,1,København H,,
1185238,20:20:00,20:23:00,352463,2,København H,,
1185238,21:02:00,21:04:00,511512,3,København H,,
1185238,21:34:00,21:34:00,584178,4,København H,,
1222990,09:26:00,09:26:00,584178,0,Hamburg Hbf,,
1222990,09:51:00,09:53:00,511512,1,Hamburg Hbf,,
1222990,10:36:00,10:39:00,352463,2,Hamburg Hbf,,
1222990,11:15:00,11:18:00,16897,3,Hamburg Hbf,,
1222990,11:59:00,11:59:00,3919,4,Hamburg Hbf,,
1223212,07:26:00,07:26:00,584178,0,Hamburg Hbf,,
1223212,07:52:00,07:54:00,511512,1,Hamburg Hbf,,
1223212,08:36:00,08:39:00,352463,2,Hamburg Hbf,,
1223212,09:15:00,09:18:00,16897,3,Hamburg Hbf,,
1223212,09:59:00,09:59:00,3919,4,Hamburg Hbf,,
127440,13:26:00,13:26:00,584178,0,Hamburg Hbf,,
127440,13:51:00,13:53:00,511512,1,Hamburg Hbf,,
127440,14:36:00,14:39:00,352463,2,Hamburg Hbf,,
127440,15:15:00,15:18:00,16897,3,Hamburg Hbf,,
127440,15:59:00,15:59:00,3919,4,Hamburg Hbf,,
1314556,15:26:00,15:26:00,584178,0,Hamburg Hbf,,
1314556,15:51:00,15:53:00,511512,1,Hamburg Hbf,,
1314556,16:36:00,16:39:00,352463,2,Hamburg Hbf,,
1314556,17:15:00,17:18:00,16897,3,Hamburg Hbf,,
1314556,17:59:00,17:59:00,3919,4,Hamburg Hbf,,
1391623,12:59:00,12:59:00,3919,0,København H,,
1391623,13:40:00,13:42:00,16897,1,København H,,
1391623,14:20:00,14:23:00,352463,2,København H,,
1391623,15:02:00,15:04:00,511512,3,København H,,
1391623,15:34:00,15:34:00,584178,4,København H,,
1442340,10:59:00,10:59:00,3919,0,København H,,
1442340,11:40:00,11:42:00,16897,1,København H,,
1442340,12:20:00,12:23:00,352463,2,København H,,
1442340,13:02:00,13:04:00,511512,3,København H,,
1442340,13:34:00,13:34:00,584178,4,København H,,
1451985,15:26:00,15:26:00,584178,0,Hamburg Hbf,,
1451985,15:51:00,15:53:00,511512,1,Hamburg Hbf,,
1451985,16:36:00,16:39:00,352463,2,Hamburg Hbf,,
1451985,17:15:00,17:18:00,16897,3,Hamburg Hbf,,
1451985,17:59:00,17:59:00,3919,4,Hamburg Hbf,,
152334,14:59:00,14:59:00,3919,0,København H,,
152334,15:40:00,15:42:00,16897,1,København H,,
152334,16:20:00,16:23:00,352463,2,København H,,
152334,17:02:00,17:04:00,511512,3,København H,,
152334,17:34:00,17:34:00,584178,4,København H,,
1532941,15:26:00,15:26:00,584178,0,Hamburg Hbf,,
1532941,15:51:00,15:53:00,511512,1,Hamburg Hbf,,
1532941,16:36:00,16:39:00,352463,2,Hamburg Hbf,,
1532941,17:15:00,17:18:00,16897,3,Hamburg Hbf,,
1532941,17:59:00,17:59:00,3919,4,Hamburg Hbf,,
1547437,15:26:00,15:26:00,584178,0,Hamburg Hbf,,
1547437,15:51:00,15:53:00,511512,1,Hamburg Hbf,,
1547437,16:36:00,16:39:00,352463,2,Hamburg Hbf,,
1547437,17:15:00,17:18:00,16897,3,Hamburg Hbf,,
1547437,17:59:00,17:59:00,3919,4,Hamburg Hbf,,
1554700,11:26:00,11:26:00,584178,0,Hamburg Hbf,,
1554700,11:51:00,11:53:00,511512,1,Hamburg Hbf,,
1554700,12:36:00,12:39:00,352463,2,Hamburg Hbf,,
1554700,13:15:00,13:18:00,16897,3,Hamburg Hbf,,
1554700,13:59:00,13:59:00,3919,4,Hamburg Hbf,,
155927,10:59:00,10:59:00,3919,0,København H,,
155927,11:40:00,11:42:00,16897,1,København H,,
155927,12:20:00,12:23:00,352463,2,København H,,
155927,13:02:00,13:04:00,511512,3,København H,,
155927,13:34:00,13:34:00,584178,4,København H,,
1562170,12:59:00,12:59:00,3919,0,København H,,
1562170,13:40:00,13:42:00,16897,1,København H,,
1562170,14:20:00,14:23:00,352463,2,København H,,
1562170,15:02:00,15:04:00,511512,3,København H,,
1562170,15:34:00,15:34:00,584178,4,København H,,
1637010,12:59:00,12:59:00,3919,0,København H,,
1637010,13:40:00,13:42:00,16897,1,København H,,
1637010,14:20:00,14:23:00,352463,2,København H,,
1637010,15:02:00,15:04:00,511512,3,København H,,
1637010,15:34:00,15:34:00,584178,4,København H,,
165895,13:26:00,13:26:00,584178,0,Hamburg Hbf,,
165895,13:51:00,13:53:00,511512,1,Hamburg Hbf,,
165895,14:36:00,14:39:00,352463,2,Hamburg Hbf,,
165895,15:15:00,15:18:00,16897,3,Hamburg Hbf,,
165895,15:59:00,15:59:00,3919,4,Hamburg Hbf,,
233521,11:26:00,11:26:00,584178,0,Hamburg Hbf,,
233521,11:51:00,11:53:00,511512,1,Hamburg Hbf,,
233521,12:36:00,12:39:00,352463,2,Hamburg Hbf,,
233521,13:15:00,13:18:00,16897,3,Hamburg Hbf,,
233521,13:59:00,13:59:00,3919,4,Hamburg Hbf,,
250027,11:26:00,11:26:00,584178,0,Hamburg Hbf,,
250027,11:51:00,11:53:00,511512,1,Hamburg Hbf,,
250027,12:36:00,12:39:00,352463,2,Hamburg Hbf,,
250027,13:15:00,13:18:00,16897,3,Hamburg Hbf,,
250027,13:59:00,13:59:00,3919,4,Hamburg Hbf,,
388519,14:59:00,14:59:00,3919,0,København H,,
